Driver_Age,Vision_Quality,Driving_Speed,Weather,Accident,Severe_Hospitalization
68.6,75.7,68.7,Clear,1,1
33.3,88.0,78.1,Clear,1,1
23.2,99.4,66.7,Clear,0,0
37.4,95.9,71.5,Clear,0,0
28.8,97.2,72.3,Rain,0,0
80.3,36.3,37.6,Clear,1,1
72.1,65.7,51.4,Rain,0,0
60.4,94.7,61.2,Rain,0,0
76.4,57.5,55.5,Rain,1,1
71.8,72.5,43.6,Clear,1,1
30.5,93.1,86.5,Clear,0,0
77.8,56.5,55.1,Snow,0,0
54.1,87.8,65.9,Rain,1,1
72.1,56.6,62.4,Rain,1,1
78.0,52.5,48.1,Clear,1,1
39.3,83.5,76.0,Clear,0,0
25.4,92.0,73.4,Rain,0,0
33.3,95.4,64.9,Clear,0,0
46.6,90.9,74.3,Clear,0,0
72.8,52.9,73.0,Clear,1,1
75.7,64.0,64.2,Clear,0,1
18.5,100.0,89.0,Clear,0,0
52.2,80.7,61.1,Clear,0,0
46.0,76.5,52.8,Clear,0,0
32.9,92.9,88.9,Rain,1,0
26.0,93.2,97.3,Clear,0,0
40.6,91.9,86.4,Clear,1,0
81.2,39.5,51.4,Rain,1,1
39.7,75.3,59.8,Clear,0,0
52.8,83.0,55.4,Clear,0,0
65.1,78.5,44.3,Rain,0,0
42.4,95.3,69.2,Snow,1,1
83.1,32.2,70.0,Clear,1,1
82.5,52.7,52.8,Clear,1,1
34.9,78.0,76.3,Rain,0,0
51.3,97.2,80.4,Clear,0,0
38.2,90.1,67.9,Rain,0,0
37.1,99.2,92.7,Snow,0,0
20.5,99.6,98.9,Snow,1,0
58.8,92.8,62.4,Clear,0,0
51.7,83.4,60.8,Clear,0,0
21.4,89.8,85.6,Snow,1,0
36.7,100.0,69.1,Clear,0,0
78.9,47.0,44.1,Clear,1,1
34.1,95.4,86.4,Rain,0,0
27.7,100.0,88.3,Clear,0,0
50.8,78.6,68.4,Clear,1,1
84.0,40.3,41.0,Rain,1,1
34.2,88.8,61.2,Clear,0,0
63.0,80.9,63.1,Clear,0,1
69.0,72.1,54.6,Clear,0,1
33.9,81.6,70.2,Rain,0,0
66.8,70.7,70.7,Clear,1,1
42.6,100.0,77.5,Clear,0,0
60.4,90.1,76.8,Rain,0,0
60.4,82.5,53.1,Rain,0,0
53.9,87.6,62.2,Clear,1,1
24.0,95.2,85.2,Rain,0,0
74.0,70.5,62.1,Clear,1,1
39.5,89.8,86.7,Rain,0,0
30.5,96.9,79.2,Clear,0,0
20.7,100.0,97.4,Clear,0,0
57.6,77.9,69.6,Rain,1,0
63.4,94.3,72.5,Clear,0,0
19.1,87.3,76.3,Clear,1,0
52.3,99.3,66.4,Clear,0,0
33.2,90.9,83.0,Rain,0,0
61.2,80.8,78.8,Clear,1,1
29.7,80.2,82.6,Clear,0,0
64.3,77.8,60.7,Clear,0,0
43.9,81.3,83.4,Clear,0,0
80.8,38.5,33.0,Clear,1,1
27.2,95.2,62.1,Clear,0,0
40.9,98.5,77.7,Clear,0,0
25.6,98.6,77.1,Clear,0,0
80.0,47.8,61.3,Rain,1,1
76.8,44.2,57.1,Rain,1,1
35.3,86.0,78.8,Rain,1,1
62.2,96.7,54.2,Clear,0,1
72.8,56.7,63.8,Snow,1,1
55.2,98.4,75.1,Clear,0,0
53.5,83.9,78.0,Snow,1,1
34.2,93.5,93.7,Clear,0,0
24.2,100.0,79.9,Clear,0,0
78.1,59.9,58.7,Clear,0,0
78.3,48.3,40.6,Clear,1,1
60.4,79.9,57.7,Rain,0,0
40.7,90.5,69.0,Rain,0,0
41.4,93.3,81.1,Snow,0,0
66.6,84.4,54.4,Rain,0,0
78.1,49.8,63.9,Clear,1,1
77.4,56.3,56.2,Clear,1,0
70.3,81.7,57.3,Snow,1,0
61.0,85.8,65.3,Clear,0,0
23.6,100.0,73.8,Rain,0,0
28.8,83.5,71.4,Clear,0,0
78.2,28.5,38.9,Clear,1,1
58.6,86.9,61.3,Snow,0,0
18.6,99.0,75.0,Clear,0,0
24.8,93.2,72.1,Clear,0,0
62.5,84.2,66.4,Clear,0,0
18.3,99.4,86.5,Rain,0,0
28.8,100.0,78.0,Clear,0,0
54.8,86.0,75.2,Clear,0,0
64.4,75.5,67.2,Clear,0,0
61.7,90.4,59.6,Clear,0,0
33.0,92.3,69.4,Clear,0,0
65.7,83.7,64.0,Clear,0,0
33.9,89.8,79.4,Snow,0,0
39.8,86.1,85.3,Snow,1,0
68.0,74.6,71.9,Clear,1,0
61.5,82.7,57.2,Rain,0,1
74.9,61.3,56.2,Clear,1,1
62.1,80.2,69.1,Clear,0,1
56.1,70.1,75.4,Clear,1,1
24.3,94.0,86.9,Clear,0,0
42.6,96.5,69.5,Clear,1,1
35.8,90.5,60.4,Clear,0,0
34.3,91.5,63.5,Rain,0,0
83.2,45.4,56.6,Clear,1,1
44.3,83.8,72.9,Rain,1,0
77.8,38.2,45.1,Clear,0,0
60.3,81.8,63.5,Clear,0,0
71.3,62.3,65.0,Clear,1,1
51.7,78.8,55.0,Clear,0,0
56.7,83.1,75.6,Rain,1,1
51.0,90.7,63.0,Rain,0,0
31.1,94.7,87.3,Clear,0,0
66.4,80.3,55.3,Rain,0,0
36.8,100.0,62.2,Snow,0,0
19.6,96.6,74.8,Rain,0,0
61.2,84.9,61.7,Clear,0,0
29.9,91.2,71.4,Rain,0,0
81.0,36.0,52.6,Clear,1,1
81.9,35.9,57.8,Rain,1,1
79.3,43.1,53.8,Clear,1,1
42.8,93.0,69.4,Clear,0,0
19.0,100.0,62.5,Clear,0,0
80.2,39.0,59.0,Clear,1,1
46.7,85.2,67.6,Snow,1,1
82.8,38.1,70.2,Clear,0,1
82.6,42.2,44.8,Clear,1,1
75.2,58.9,39.1,Snow,0,0
37.7,100.0,78.3,Clear,0,0
43.8,70.3,73.1,Clear,1,1
75.0,38.0,47.1,Clear,1,1
39.2,87.5,56.2,Clear,0,1
29.4,100.0,90.8,Clear,0,0
55.3,72.6,79.2,Clear,0,0
80.7,19.4,30.0,Rain,1,1
64.6,85.9,56.8,Snow,0,0
56.2,86.7,81.4,Clear,0,0
24.5,88.7,72.6,Clear,0,0
59.2,75.6,58.6,Clear,1,1
84.3,27.0,50.6,Rain,1,1
27.4,97.1,65.0,Clear,0,0
52.7,81.1,49.1,Rain,0,0
76.8,56.9,67.0,Clear,0,0
67.6,52.0,41.7,Snow,0,0
64.7,74.5,63.8,Clear,0,1
65.1,72.0,70.0,Rain,0,0
42.1,88.3,55.9,Clear,0,1
37.7,87.8,62.9,Rain,0,0
72.2,70.2,70.4,Clear,0,0
72.3,48.9,63.6,Clear,1,1
76.1,54.9,50.6,Clear,0,1
79.2,51.6,67.5,Rain,1,1
52.3,100.0,78.4,Rain,0,0
51.6,82.7,69.2,Clear,0,0
71.5,68.2,49.6,Clear,1,1
61.5,68.2,58.4,Clear,1,0
65.0,62.0,64.1,Rain,1,1
71.3,72.8,56.8,Rain,1,1
77.6,50.8,65.5,Rain,1,1
40.6,100.0,55.6,Clear,0,0
43.2,78.9,55.0,Snow,0,0
24.3,100.0,79.3,Rain,0,0
56.7,99.5,59.6,Rain,0,0
20.4,100.0,72.8,Clear,0,0
49.2,89.7,49.8,Rain,0,0
54.4,85.5,65.7,Clear,0,0
37.2,79.8,71.8,Clear,0,0
57.6,95.0,70.7,Clear,0,1
20.0,94.3,79.9,Clear,0,0
20.5,100.0,77.7,Clear,0,0
73.1,49.2,69.7,Clear,1,1
42.1,80.9,57.2,Clear,0,0
26.5,100.0,82.0,Rain,0,0
53.0,83.2,49.3,Clear,0,0
69.6,81.8,51.0,Clear,0,0
32.5,93.6,62.1,Clear,0,0
59.7,68.6,71.1,Rain,1,0
23.7,100.0,77.1,Rain,0,0
21.5,93.9,78.5,Clear,0,0
53.6,91.3,54.7,Snow,0,0
54.2,85.7,62.5,Clear,0,0
60.7,70.6,55.3,Snow,1,1
66.6,78.6,64.4,Clear,0,0
83.4,54.7,43.9,Clear,1,1
52.6,90.1,79.5,Clear,0,0
39.6,90.9,54.6,Clear,0,0
71.3,74.7,50.6,Clear,0,0
36.1,94.4,89.5,Rain,0,0
47.4,89.9,63.9,Rain,0,0
23.3,89.2,64.7,Clear,0,0
19.7,100.0,81.5,Clear,0,0
82.5,47.5,49.4,Clear,1,0
74.0,52.9,49.2,Clear,1,1
64.6,92.7,50.4,Rain,0,0
45.4,88.3,96.7,Clear,0,0
29.6,88.3,72.8,Rain,0,0
28.5,100.0,56.6,Clear,0,0
34.8,91.0,88.2,Clear,1,1
54.8,91.4,71.4,Clear,0,1
65.9,76.8,53.2,Clear,0,0
62.2,81.8,53.0,Clear,0,0
36.8,96.4,79.2,Rain,0,0
82.0,42.8,51.9,Clear,1,1
67.4,59.4,41.0,Clear,1,1
55.1,76.2,83.0,Rain,1,0
59.0,91.0,59.3,Clear,0,0
46.1,87.7,83.7,Rain,0,0
34.6,89.2,86.1,Clear,0,0
41.9,79.6,60.4,Clear,0,0
68.8,63.5,70.0,Rain,1,1
19.0,83.4,73.1,Rain,0,0
25.8,96.1,58.2,Clear,0,0
21.1,94.0,74.5,Clear,0,0
20.7,91.2,82.9,Rain,0,0
75.3,55.9,52.4,Clear,1,1
65.1,83.8,58.1,Clear,0,0
49.8,100.0,78.7,Rain,0,0
24.6,85.3,78.4,Rain,0,0
50.9,96.1,58.4,Rain,0,0
49.7,95.1,74.3,Rain,1,1
29.6,89.1,77.3,Rain,0,0
47.1,90.0,43.2,Rain,0,0
44.7,85.7,73.6,Rain,0,0
59.3,85.0,67.4,Clear,0,0
60.6,95.1,63.2,Clear,0,0
21.0,100.0,87.7,Rain,0,0
43.1,94.0,63.2,Rain,0,0
59.9,79.8,66.6,Clear,0,0
51.7,74.6,50.8,Clear,0,0
75.4,54.6,61.1,Snow,0,1
62.1,92.0,81.9,Clear,0,0
28.9,83.4,65.7,Clear,1,0
22.7,89.7,70.5,Rain,1,0
61.0,83.8,55.7,Snow,0,0
19.8,91.4,80.6,Rain,0,0
57.2,78.0,53.7,Rain,1,0
81.0,39.4,59.0,Clear,1,1
56.6,73.7,73.0,Rain,0,0
44.0,81.8,74.9,Clear,0,0
61.1,88.4,45.1,Rain,0,0
48.7,77.3,77.7,Clear,0,0
54.6,72.6,74.8,Clear,1,1
81.1,37.6,63.1,Clear,1,1
43.9,95.5,73.4,Clear,0,0
82.4,37.9,56.4,Rain,1,1
78.7,44.7,66.1,Snow,1,1
31.1,95.1,94.0,Rain,0,0
22.6,84.2,68.6,Rain,1,0
24.8,100.0,88.1,Clear,0,0
19.2,100.0,78.6,Rain,0,0
24.3,94.2,76.2,Rain,0,0
63.8,89.7,46.3,Rain,0,1
22.8,89.1,75.2,Clear,0,1
39.4,100.0,61.5,Rain,0,0
74.6,59.4,52.7,Rain,1,1
19.6,96.7,68.4,Clear,0,0
72.6,62.9,53.7,Rain,1,1
36.9,91.6,68.4,Snow,1,0
25.9,100.0,77.8,Clear,0,0
64.7,72.7,45.2,Rain,0,0
60.1,77.0,48.7,Rain,0,0
76.8,61.2,60.1,Rain,0,1
67.2,71.0,52.3,Clear,1,1
71.8,72.0,69.2,Rain,0,0
36.9,100.0,74.7,Clear,0,0
29.9,92.0,81.3,Clear,0,0
68.3,78.8,74.0,Rain,0,0
72.1,55.0,55.3,Rain,1,1
84.4,40.8,47.7,Rain,1,1
45.6,90.5,77.7,Clear,0,0
42.9,93.8,75.1,Clear,0,0
70.0,64.0,57.3,Snow,0,0
40.8,77.6,84.8,Clear,1,0
80.4,48.4,52.9,Rain,1,1
75.5,39.5,57.3,Rain,1,1
46.7,86.0,68.7,Rain,0,0
68.3,80.8,50.5,Clear,0,0
68.6,74.2,60.6,Rain,0,0
24.9,100.0,91.2,Rain,1,0
78.5,57.1,60.3,Clear,0,1
51.9,81.2,66.8,Clear,0,0
73.4,61.3,56.2,Clear,0,1
39.4,91.0,74.7,Clear,0,0
78.0,37.3,63.5,Rain,1,1
44.1,82.0,75.7,Rain,0,0
18.7,95.2,76.4,Snow,0,0
78.7,32.1,59.0,Clear,1,1
24.1,97.9,82.4,Rain,0,0
39.4,89.4,61.4,Clear,0,0
81.7,27.8,56.2,Rain,1,1
81.7,44.4,32.9,Rain,0,1
56.4,90.4,69.5,Snow,0,0
60.3,84.9,69.7,Rain,0,0
48.0,85.4,75.5,Snow,0,0
37.6,96.9,68.2,Rain,0,0
40.0,96.6,74.3,Rain,0,0
63.1,84.4,76.2,Clear,0,0
68.4,66.4,74.0,Rain,0,0
71.0,68.9,58.5,Rain,0,0
70.9,76.6,60.2,Clear,0,0
24.1,92.8,88.7,Clear,0,0
51.1,100.0,51.7,Rain,0,1
21.9,94.3,75.2,Clear,0,0
54.8,85.5,78.6,Clear,0,0
47.6,82.8,77.9,Rain,1,1
77.5,53.0,59.9,Snow,1,1
41.5,76.7,55.5,Rain,0,0
25.8,92.5,76.4,Clear,0,0
27.6,87.4,70.3,Clear,0,0
69.0,72.6,62.9,Clear,0,1
59.4,91.4,55.3,Clear,0,0
24.8,100.0,67.0,Clear,0,0
23.6,78.8,57.1,Snow,1,0
65.0,97.6,73.4,Clear,0,0
22.9,100.0,74.1,Clear,0,0
73.1,55.6,59.5,Clear,0,0
65.3,81.7,61.1,Clear,0,0
23.5,99.2,67.1,Clear,0,0
23.7,92.4,65.1,Clear,0,0
84.1,36.9,43.5,Snow,1,1
43.1,85.1,62.7,Clear,0,0
42.8,86.8,73.7,Clear,0,0
72.5,57.8,50.3,Clear,1,1
81.5,30.2,72.1,Clear,1,1
84.1,36.6,63.8,Clear,1,1
68.5,77.5,67.9,Clear,0,0
43.2,94.0,68.7,Clear,0,0
23.6,100.0,92.9,Rain,0,0
70.1,71.6,57.0,Clear,1,1
55.4,80.8,64.7,Clear,0,0
46.4,95.3,70.3,Clear,0,0
78.7,37.4,62.7,Clear,1,1
25.5,89.8,83.4,Clear,0,0
51.0,79.1,62.0,Clear,0,0
18.8,100.0,74.4,Clear,0,0
49.4,95.0,73.8,Clear,0,1
21.8,100.0,85.6,Clear,1,0
26.0,100.0,72.9,Clear,0,0
25.9,89.8,61.0,Clear,0,0
61.5,85.4,60.5,Snow,0,1
68.0,73.0,66.2,Rain,1,1
57.1,91.1,82.4,Rain,0,0
82.5,38.4,42.2,Rain,1,1
43.1,86.9,65.7,Snow,0,0
37.1,96.7,68.4,Rain,0,0
76.2,61.3,70.3,Rain,1,1
33.0,88.7,73.7,Clear,0,0
82.5,38.6,45.1,Clear,1,1
18.8,91.2,85.3,Rain,0,0
83.0,18.1,50.0,Snow,1,1
20.9,100.0,66.6,Clear,0,0
77.7,55.6,47.2,Rain,0,0
53.4,88.0,83.2,Clear,1,1
84.5,18.7,57.2,Clear,1,1
22.9,95.2,79.1,Clear,0,0
55.1,67.4,62.7,Clear,0,1
82.9,49.1,56.9,Clear,0,0
53.0,77.3,68.8,Rain,0,0
60.2,93.2,66.1,Rain,0,0
64.6,88.9,62.5,Rain,1,1
48.5,80.6,76.5,Clear,0,0
60.0,74.1,63.4,Rain,1,1
57.1,87.1,54.6,Clear,0,0
78.4,42.3,49.7,Clear,1,1
21.0,99.6,59.0,Rain,0,0
36.8,88.6,92.7,Clear,1,0
81.7,26.9,63.2,Clear,1,1
77.6,33.0,47.8,Clear,1,1
48.5,89.6,65.0,Rain,0,0
59.5,78.9,57.0,Clear,0,0
36.6,88.1,88.0,Rain,1,0
30.6,100.0,60.8,Rain,0,0
49.1,97.0,68.7,Rain,0,0
41.7,88.3,69.4,Rain,0,0
57.1,81.6,72.6,Clear,0,0
23.2,100.0,76.9,Clear,0,0
83.3,26.5,36.3,Clear,1,1
84.1,37.2,51.1,Clear,0,0
64.8,85.7,51.6,Rain,0,0
53.9,91.1,66.4,Clear,0,0
38.7,76.2,86.0,Clear,0,0
72.5,57.1,40.8,Rain,1,1
63.9,74.6,53.6,Rain,1,1
28.9,96.4,70.1,Rain,0,0
79.0,51.4,51.8,Rain,0,0
73.1,73.7,65.4,Rain,1,1
81.6,37.3,52.8,Rain,1,1
66.6,73.3,64.7,Clear,1,1
59.1,92.8,57.3,Snow,0,0
46.0,91.2,71.1,Clear,1,0
80.5,54.2,62.8,Clear,1,1
76.0,57.0,49.5,Clear,1,1
21.0,89.5,86.6,Rain,1,0
19.8,88.6,79.8,Snow,0,0
43.2,77.5,80.4,Clear,1,0
72.3,69.0,56.3,Clear,1,0
84.1,44.8,57.4,Rain,1,1
28.1,100.0,75.6,Snow,0,0
57.8,90.8,63.1,Clear,0,0
43.5,99.1,72.4,Clear,0,0
83.0,33.4,59.4,Rain,1,1
74.4,49.3,44.9,Clear,1,1
74.2,66.0,71.9,Rain,1,1
49.4,90.8,48.8,Clear,0,0
45.8,89.7,62.0,Clear,0,0
36.3,95.8,71.7,Clear,0,0
21.8,100.0,82.6,Clear,0,0
75.9,65.2,72.6,Clear,1,1
72.5,73.6,39.6,Clear,1,1
85.0,37.6,48.1,Rain,1,1
84.8,40.5,32.0,Clear,1,1
55.2,89.2,65.4,Snow,0,0
69.5,66.7,62.1,Clear,1,1
81.3,48.1,70.6,Rain,1,1
74.9,46.2,58.4,Clear,1,0
34.6,100.0,83.8,Clear,0,0
48.2,78.4,73.8,Clear,0,0
26.7,98.8,72.2,Clear,0,0
81.9,33.8,40.3,Rain,1,1
58.6,88.2,66.5,Rain,0,0
33.3,93.6,59.0,Rain,0,0
63.0,69.2,75.0,Clear,0,1
59.4,86.8,61.8,Rain,0,0
42.0,85.8,82.4,Rain,0,0
25.6,100.0,72.2,Snow,1,0
63.0,82.0,64.7,Rain,0,0
52.9,89.2,68.1,Clear,0,0
69.7,62.2,58.9,Clear,1,1
52.9,81.3,61.7,Clear,0,0
75.1,53.3,61.1,Rain,0,0
55.0,92.1,55.9,Clear,0,0
55.6,98.4,52.9,Rain,0,1
76.7,46.6,68.9,Clear,1,1
45.0,97.8,76.5,Clear,0,0
27.0,79.1,77.1,Clear,0,0
19.9,89.7,95.9,Clear,0,0
68.6,64.9,57.1,Rain,1,1
59.6,72.6,76.6,Clear,0,0
65.2,68.1,62.9,Rain,0,0
32.3,97.6,64.0,Clear,0,0
27.1,94.6,94.8,Clear,0,0
19.0,100.0,89.5,Rain,0,0
41.5,96.1,69.4,Clear,0,0
57.5,86.3,71.5,Rain,0,0
44.3,94.7,65.5,Rain,0,0
47.3,87.7,76.6,Rain,0,0
78.6,39.1,31.9,Clear,1,1
41.3,99.1,60.5,Clear,0,0
52.4,81.5,76.0,Rain,0,0
70.5,60.5,56.5,Rain,1,1
44.6,87.9,71.4,Rain,0,0
59.7,76.0,49.9,Clear,0,0
75.8,52.0,75.4,Clear,1,1
81.6,44.1,66.5,Clear,1,1
27.9,98.8,74.1,Rain,0,0
80.1,37.8,51.1,Clear,1,1
51.0,82.9,77.1,Clear,1,0
35.3,100.0,92.9,Rain,0,0
48.8,91.7,77.2,Clear,0,1
83.7,53.0,75.5,Clear,1,1
51.0,96.2,57.6,Clear,0,0
40.0,100.0,63.0,Clear,0,0
60.4,71.9,51.1,Clear,0,1
34.1,99.7,78.0,Clear,0,0
23.1,97.5,79.7,Clear,0,0
26.6,92.1,75.0,Clear,1,0
26.6,97.9,84.7,Clear,0,1
28.2,100.0,88.3,Rain,1,1
27.3,100.0,61.0,Clear,0,0
60.9,75.8,56.9,Clear,0,0
30.2,100.0,83.3,Clear,0,0
41.2,85.6,66.1,Clear,0,0
78.1,51.5,48.0,Clear,0,0
49.8,84.9,77.5,Clear,0,1
62.7,80.4,49.2,Rain,1,1
29.5,100.0,72.4,Clear,0,0
30.9,86.5,78.1,Rain,0,0
20.7,100.0,73.2,Clear,0,0
29.3,80.9,83.3,Clear,0,0
36.7,87.8,66.8,Clear,0,0
29.9,98.2,89.3,Rain,0,0
23.9,100.0,76.4,Clear,0,0
26.1,96.0,83.5,Clear,1,0
48.9,87.2,75.1,Clear,0,0
31.8,97.8,68.2,Clear,0,0
42.4,88.4,49.7,Snow,0,0
51.7,97.7,70.1,Clear,0,0
64.3,88.2,62.2,Rain,0,0
20.6,100.0,84.5,Rain,0,0
71.6,57.7,56.3,Clear,1,1
60.1,82.5,58.9,Clear,0,0
23.5,95.4,97.9,Rain,1,1
76.5,45.5,41.9,Clear,1,1
79.7,48.8,62.7,Clear,1,1
22.1,94.1,72.6,Rain,0,0
36.6,97.8,69.2,Rain,0,0
72.0,55.8,55.2,Rain,1,1
68.1,87.4,51.9,Rain,0,0
30.4,87.9,80.8,Clear,0,0
32.0,96.1,88.3,Clear,0,0
42.8,96.4,74.8,Clear,0,0
50.5,82.4,68.0,Rain,0,0
59.4,90.3,53.6,Snow,0,0
42.7,80.3,75.3,Clear,0,0
49.0,99.2,89.2,Clear,1,1
68.1,73.9,56.2,Clear,0,0
20.5,94.2,75.3,Rain,1,0
34.9,90.8,67.6,Clear,0,0
65.8,85.8,56.0,Clear,0,0
78.0,45.4,30.0,Snow,1,1
52.3,80.3,70.3,Rain,1,0
53.7,84.0,57.3,Clear,0,0
25.2,87.7,61.0,Snow,1,0
48.0,100.0,75.5,Clear,0,0
53.7,81.2,54.9,Clear,0,0
34.2,100.0,70.1,Clear,0,0
36.0,94.5,87.4,Rain,1,0
43.3,82.0,55.8,Rain,0,0
19.3,99.4,64.1,Clear,0,0
39.6,97.6,74.1,Snow,0,0
32.2,92.8,85.8,Clear,0,0
39.9,100.0,55.5,Rain,0,0
26.0,100.0,80.9,Rain,0,0
77.7,58.2,61.9,Clear,1,1
57.8,80.4,43.5,Clear,0,0
63.5,73.2,69.8,Rain,1,1
70.9,62.2,67.6,Clear,0,1
51.4,88.2,63.5,Rain,0,0
23.8,100.0,90.2,Clear,1,0
54.0,68.2,77.0,Rain,1,1
57.3,84.2,65.3,Clear,0,0
67.9,75.4,55.5,Clear,0,1
46.9,86.2,58.7,Clear,0,0
26.5,100.0,76.2,Rain,0,0
37.0,95.8,78.1,Clear,0,0
42.3,100.0,67.0,Clear,0,0
61.3,81.0,40.7,Snow,0,0
56.2,92.2,77.4,Rain,1,1
41.9,100.0,72.4,Clear,0,0
84.1,45.9,49.8,Snow,1,1
58.6,75.0,72.3,Rain,0,0
33.9,91.6,88.9,Clear,0,0
24.8,94.5,49.3,Clear,0,0
28.2,99.8,80.2,Rain,0,0
34.5,98.9,59.1,Rain,0,0
28.8,89.0,80.7,Clear,0,0
30.5,95.5,76.3,Clear,0,1
37.1,76.2,78.7,Clear,0,0
29.6,100.0,70.4,Clear,0,0
78.1,45.7,37.2,Clear,0,0
23.4,98.3,73.3,Clear,0,0
53.1,83.5,70.0,Rain,0,0
45.5,98.2,79.2,Rain,0,0
83.8,13.3,42.0,Clear,1,1
25.5,96.9,87.3,Clear,0,0
44.7,88.5,62.9,Clear,0,0
83.0,34.5,57.6,Clear,0,0
76.0,68.6,51.7,Snow,0,0
72.7,55.5,59.9,Rain,1,1
35.3,99.3,82.0,Clear,0,0
29.4,98.3,63.2,Clear,0,0
62.8,92.2,55.3,Clear,0,0
80.3,39.2,56.9,Rain,1,1
55.3,79.2,89.1,Clear,0,0
56.3,93.4,56.0,Rain,1,1
36.8,95.9,92.9,Rain,0,0
69.6,57.9,79.4,Clear,0,0
30.5,90.7,74.0,Rain,0,0
39.7,94.4,68.3,Rain,0,0
46.5,95.3,61.7,Rain,0,0
52.0,81.0,65.7,Snow,0,0
34.2,70.2,59.4,Clear,0,0
25.7,100.0,76.2,Clear,0,0
