Weather,Road_Type,Time_of_Day,Traffic_Density,Speed_Limit,Number_of_Vehicles,Driver_Alcohol,Accident_Severity,Road_Condition,Vehicle_Type,Driver_Age,Driver_Experience,Road_Light_Condition,Accident
Stormy,Highway,Evening,1.0,100.0,4.0,0.0,None,Wet,Car,74.0,54.0,Daylight,0.0
Foggy,Highway,Morning,1.0,100.0,3.0,0.0,None,Wet,Truck,51.0,34.0,Daylight,0.0
Clear,City Road,Evening,2.0,50.0,5.0,0.0,None,Dry,Car,30.0,13.0,Artificial Light,0.0
Stormy,City Road,Morning,2.0,50.0,6.0,0.0,None,Icy,Car,72.0,53.0,Daylight,0.0
Foggy,Rural Road,Evening,2.0,60.0,6.0,0.0,None,Wet,Car,72.0,54.0,No Light,0.0
Snowy,City Road,Afternoon,1.0,50.0,5.0,0.0,Low,Icy,Car,31.0,11.0,Daylight,1.0
Clear,City Road,Night,1.0,50.0,4.0,0.0,None,Dry,Car,28.0,11.0,Artificial Light,0.0
Clear,Highway,Night,2.0,120.0,7.0,0.0,Moderate,Wet,Car,52.0,35.0,Artificial Light,1.0
Clear,Rural Road,Evening,1.0,60.0,4.0,0.0,None,Under Construction,Car,68.0,43.0,Artificial Light,0.0
Stormy,Highway,Evening,1.0,100.0,4.0,0.0,Moderate,Under Construction,Car,30.0,7.0,Artificial Light,1.0
Stormy,City Road,Evening,2.0,50.0,9.0,0.0,Low,Wet,Car,59.0,37.0,Artificial Light,1.0
Clear,Rural Road,Afternoon,2.0,80.0,5.0,0.0,None,Dry,Car,75.0,52.0,Daylight,0.0
Rainy,Highway,Afternoon,0.0,80.0,3.0,0.0,Moderate,Wet,Bus,59.0,47.0,Daylight,1.0
Snowy,Highway,Morning,2.0,100.0,6.0,0.0,High,Wet,Car,24.0,11.0,Daylight,1.0
Foggy,Highway,Morning,0.0,80.0,3.0,0.0,None,Dry,Car,29.0,14.0,Daylight,0.0
Clear,Rural Road,Afternoon,1.0,60.0,2.0,0.0,None,Dry,Car,55.0,38.0,Daylight,0.0
Rainy,Highway,Evening,1.0,100.0,4.0,0.0,High,Wet,Car,45.0,29.0,Artificial Light,1.0
Snowy,City Road,Morning,0.0,60.0,2.0,0.0,None,Wet,Car,23.0,8.0,Daylight,0.0
Snowy,Highway,Evening,2.0,120.0,6.0,0.0,High,Wet,Car,43.0,27.0,Daylight,1.0
Rainy,City Road,Afternoon,1.0,60.0,4.0,0.0,None,Wet,Car,42.0,25.0,Daylight,0.0
Stormy,City Road,Afternoon,1.0,30.0,6.0,0.0,None,Wet,Car,23.0,8.0,Daylight,0.0
Clear,Highway,Evening,1.0,80.0,4.0,0.0,None,Dry,Car,56.0,44.0,Artificial Light,0.0
Snowy,City Road,Afternoon,1.0,50.0,5.0,0.0,Low,Icy,Car,70.0,51.0,Daylight,1.0
Clear,Highway,Afternoon,2.0,120.0,5.0,0.0,None,Wet,Car,48.0,31.0,Daylight,0.0
Snowy,Mountain Road,Evening,0.0,50.0,4.0,0.0,None,Icy,Car,18.0,3.0,Artificial Light,0.0
Rainy,Highway,Evening,2.0,100.0,6.0,0.0,Low,Wet,Car,32.0,21.0,Artificial Light,1.0
Clear,City Road,Morning,2.0,30.0,5.0,0.0,Low,Wet,Motorcycle,67.0,54.0,Daylight,1.0
Rainy,Highway,Morning,1.0,100.0,4.0,0.0,None,Under Construction,Car,59.0,41.0,Daylight,0.0
Rainy,City Road,Afternoon,0.0,50.0,3.0,0.0,None,Under Construction,Car,61.0,35.0,Daylight,0.0
Rainy,City Road,Morning,1.0,30.0,4.0,0.0,None,Under Construction,Car,46.0,22.0,Daylight,0.0
Rainy,Highway,Morning,2.0,120.0,6.0,0.0,High,Wet,Car,71.0,54.0,Daylight,1.0
Rainy,Highway,Morning,2.0,100.0,6.0,0.0,Moderate,Under Construction,Car,34.0,19.0,Daylight,1.0
Snowy,Highway,Afternoon,0.0,100.0,2.0,0.0,High,Icy,Car,60.0,38.0,Daylight,1.0
Foggy,Highway,Night,0.0,120.0,2.0,0.0,None,Dry,Car,29.0,5.0,No Light,0.0
Rainy,Rural Road,Evening,2.0,80.0,6.0,0.0,None,Wet,Car,47.0,26.0,No Light,0.0
Foggy,City Road,Morning,2.0,50.0,4.0,0.0,None,Under Construction,Car,51.0,25.0,Daylight,0.0
Snowy,City Road,Afternoon,1.0,50.0,2.0,0.0,Low,Icy,Car,30.0,15.0,Daylight,1.0
Clear,Rural Road,Evening,2.0,80.0,6.0,0.0,None,Dry,Car,73.0,58.0,Artificial Light,0.0
Clear,City Road,Morning,2.0,50.0,7.0,0.0,None,Dry,Car,52.0,34.0,Daylight,0.0
Clear,Rural Road,Evening,0.0,80.0,2.0,0.0,None,Under Construction,Car,61.0,42.0,Artificial Light,0.0
Snowy,City Road,Evening,2.0,50.0,6.0,0.0,None,Icy,Car,33.0,14.0,Artificial Light,0.0
Foggy,City Road,Evening,2.0,50.0,5.0,0.0,None,Dry,Truck,48.0,30.0,Artificial Light,0.0
Foggy,City Road,Afternoon,2.0,50.0,7.0,0.0,Low,Dry,Car,19.0,0.0,Daylight,1.0
Rainy,Highway,Morning,2.0,100.0,7.0,0.0,Moderate,Wet,Motorcycle,47.0,31.0,Daylight,1.0
Clear,City Road,Evening,2.0,50.0,6.0,0.0,None,Dry,Car,68.0,52.0,Daylight,0.0
Snowy,Mountain Road,Afternoon,0.0,30.0,3.0,0.0,None,Icy,Car,59.0,48.0,Daylight,0.0
Stormy,Highway,Evening,0.0,100.0,3.0,0.0,Low,Wet,Car,49.0,29.0,Daylight,1.0
Stormy,Rural Road,Afternoon,2.0,60.0,4.0,0.0,None,Wet,Bus,74.0,57.0,Daylight,0.0
Clear,City Road,Evening,2.0,30.0,5.0,0.0,None,Dry,Car,68.0,48.0,Artificial Light,0.0
Clear,City Road,Afternoon,1.0,50.0,4.0,0.0,None,Wet,Car,30.0,7.0,Daylight,0.0
Rainy,City Road,Afternoon,1.0,50.0,2.0,0.0,Low,Wet,Car,21.0,10.0,Daylight,1.0
Snowy,Rural Road,Evening,2.0,80.0,6.0,0.0,Moderate,Icy,Car,72.0,50.0,Artificial Light,1.0
Clear,Highway,Night,1.0,100.0,4.0,0.0,None,Under Construction,Car,19.0,0.0,Artificial Light,0.0
Rainy,Highway,Afternoon,2.0,100.0,6.0,0.0,None,Dry,Bus,71.0,54.0,Daylight,0.0
Foggy,Highway,Night,1.0,100.0,3.0,0.0,Low,Wet,Car,51.0,32.0,Artificial Light,1.0
Foggy,City Road,Afternoon,1.0,50.0,3.0,0.0,None,Wet,Car,24.0,2.0,Daylight,0.0
Rainy,City Road,Afternoon,2.0,50.0,4.0,0.0,None,Wet,Truck,30.0,12.0,Daylight,0.0
Rainy,Highway,Night,1.0,120.0,5.0,0.0,None,Wet,Truck,69.0,52.0,Artificial Light,0.0
Foggy,City Road,Afternoon,1.0,50.0,2.0,0.0,None,Wet,Truck,74.0,58.0,Daylight,0.0
Clear,City Road,Evening,2.0,50.0,7.0,0.0,None,Wet,Truck,55.0,38.0,Artificial Light,0.0
Clear,Highway,Night,0.0,100.0,3.0,0.0,None,Dry,Car,71.0,57.0,Artificial Light,0.0
Clear,Mountain Road,Night,0.0,30.0,1.0,0.0,None,Dry,Truck,40.0,22.0,No Light,0.0
Foggy,Rural Road,Evening,1.0,80.0,4.0,0.0,None,Wet,Car,39.0,25.0,No Light,0.0
Clear,City Road,Afternoon,2.0,60.0,5.0,0.0,None,Dry,Car,43.0,28.0,Daylight,0.0
Clear,City Road,Night,1.0,50.0,3.0,1.0,None,Dry,Truck,23.0,0.0,Artificial Light,0.0
Clear,Mountain Road,Night,1.0,30.0,3.0,0.0,None,Wet,Car,64.0,47.0,Artificial Light,0.0
Stormy,City Road,Night,1.0,50.0,2.0,0.0,Low,Wet,Car,37.0,20.0,Artificial Light,1.0
Clear,City Road,Evening,2.0,60.0,6.0,0.0,None,Dry,Truck,69.0,53.0,Daylight,0.0
Rainy,Rural Road,Afternoon,1.0,60.0,2.0,0.0,None,Wet,Car,57.0,40.0,Daylight,0.0
Stormy,City Road,Afternoon,2.0,60.0,5.0,0.0,None,Wet,Car,52.0,35.0,Daylight,0.0
Rainy,City Road,Morning,2.0,50.0,6.0,0.0,None,Dry,Car,57.0,39.0,Daylight,0.0
Rainy,City Road,Morning,2.0,30.0,5.0,0.0,None,Wet,Car,61.0,43.0,Daylight,0.0
Stormy,City Road,Night,1.0,50.0,2.0,0.0,Low,Icy,Truck,65.0,45.0,Artificial Light,1.0
Clear,City Road,Afternoon,0.0,60.0,1.0,0.0,None,Dry,Car,63.0,40.0,Daylight,0.0
Snowy,Highway,Evening,2.0,120.0,8.0,0.0,None,Wet,Truck,50.0,25.0,Artificial Light,0.0
Clear,Highway,Evening,2.0,100.0,6.0,0.0,None,Dry,Truck,43.0,27.0,Daylight,0.0
Foggy,Highway,Morning,2.0,120.0,6.0,0.0,None,Dry,Car,29.0,9.0,Daylight,0.0
Foggy,City Road,Morning,2.0,50.0,5.0,0.0,None,Dry,Car,24.0,6.0,Daylight,0.0
Foggy,Rural Road,Afternoon,1.0,50.0,3.0,0.0,None,Dry,Car,57.0,34.0,Daylight,0.0
Rainy,City Road,Morning,2.0,60.0,8.0,0.0,None,Dry,Car,59.0,41.0,Daylight,0.0
Snowy,Rural Road,Morning,1.0,60.0,3.0,0.0,None,Wet,Truck,68.0,51.0,Daylight,0.0
Clear,City Road,Morning,2.0,60.0,6.0,0.0,None,Dry,Car,27.0,9.0,Daylight,0.0
Clear,Mountain Road,Evening,0.0,60.0,2.0,0.0,None,Dry,Car,67.0,56.0,Artificial Light,0.0
Clear,City Road,Morning,2.0,60.0,5.0,0.0,Low,Dry,Car,58.0,44.0,Daylight,1.0
Clear,Rural Road,Morning,1.0,80.0,4.0,0.0,None,Dry,Car,39.0,25.0,Daylight,0.0
Snowy,Highway,Evening,2.0,120.0,8.0,0.0,High,Dry,Car,61.0,39.0,Artificial Light,1.0
Foggy,Highway,Afternoon,2.0,80.0,5.0,0.0,Moderate,Under Construction,Truck,52.0,30.0,Daylight,1.0
Clear,Highway,Evening,1.0,120.0,6.0,0.0,None,Wet,Car,70.0,52.0,Artificial Light,0.0
Stormy,Rural Road,Afternoon,0.0,60.0,1.0,0.0,None,Icy,Car,31.0,2.0,Daylight,0.0
Clear,City Road,Night,1.0,60.0,2.0,0.0,None,Under Construction,Car,28.0,9.0,Artificial Light,0.0
Stormy,City Road,Evening,1.0,50.0,3.0,0.0,None,Wet,Car,42.0,26.0,Daylight,0.0
Rainy,City Road,Morning,2.0,50.0,5.0,0.0,None,Wet,Motorcycle,70.0,58.0,Daylight,0.0
Clear,Highway,Morning,2.0,120.0,6.0,0.0,None,Dry,Car,33.0,21.0,Daylight,0.0
Foggy,Highway,Evening,2.0,100.0,6.0,0.0,None,Wet,Car,49.0,27.0,Artificial Light,0.0
Snowy,Rural Road,Evening,0.0,80.0,2.0,0.0,Low,Icy,Car,56.0,35.0,No Light,1.0
Clear,Highway,Afternoon,1.0,80.0,5.0,0.0,None,Dry,Motorcycle,24.0,7.0,Daylight,0.0
Clear,City Road,Night,1.0,50.0,3.0,1.0,None,Wet,Car,41.0,23.0,Artificial Light,0.0
Stormy,Highway,Morning,1.0,100.0,4.0,0.0,None,Wet,Motorcycle,44.0,27.0,Daylight,0.0
Stormy,Highway,Evening,0.0,80.0,4.0,0.0,None,Wet,Car,29.0,13.0,Artificial Light,0.0
Foggy,City Road,Afternoon,2.0,60.0,4.0,0.0,None,Dry,Truck,53.0,49.0,Daylight,0.0
Snowy,City Road,Evening,2.0,50.0,7.0,0.0,Moderate,Dry,Motorcycle,20.0,3.0,Artificial Light,1.0
Clear,City Road,Afternoon,2.0,30.0,5.0,0.0,None,Dry,Car,28.0,11.0,Daylight,0.0
Clear,Rural Road,Morning,2.0,80.0,5.0,0.0,Moderate,Dry,Truck,43.0,25.0,Daylight,1.0
Clear,Highway,Morning,1.0,80.0,3.0,0.0,None,Dry,Motorcycle,54.0,30.0,Daylight,0.0
Clear,Highway,Morning,2.0,80.0,6.0,0.0,None,Dry,Car,60.0,46.0,Daylight,0.0
Foggy,Rural Road,Evening,0.0,80.0,2.0,0.0,None,Wet,Truck,74.0,57.0,No Light,0.0
Snowy,Mountain Road,Afternoon,0.0,50.0,5.0,0.0,Moderate,Icy,Motorcycle,63.0,47.0,Daylight,1.0
Clear,Highway,Night,0.0,80.0,3.0,0.0,None,Wet,Truck,37.0,17.0,Artificial Light,0.0
Clear,City Road,Night,2.0,60.0,4.0,0.0,None,Dry,Car,66.0,48.0,No Light,0.0
Clear,Highway,Evening,1.0,100.0,4.0,0.0,None,Dry,Car,43.0,17.0,Artificial Light,0.0
Snowy,Rural Road,Morning,1.0,60.0,3.0,0.0,None,Icy,Motorcycle,32.0,19.0,Daylight,0.0
Rainy,City Road,Evening,2.0,50.0,5.0,1.0,Low,Wet,Motorcycle,37.0,23.0,Artificial Light,1.0
Stormy,City Road,Night,1.0,50.0,4.0,0.0,Low,Wet,Motorcycle,56.0,36.0,No Light,1.0
Clear,City Road,Morning,1.0,30.0,2.0,0.0,Low,Dry,Car,35.0,21.0,Daylight,1.0
Clear,City Road,Evening,1.0,50.0,3.0,0.0,None,Dry,Bus,36.0,15.0,Artificial Light,0.0
Clear,Highway,Afternoon,1.0,100.0,3.0,0.0,None,Dry,Car,27.0,2.0,Daylight,0.0
Snowy,City Road,Afternoon,2.0,50.0,4.0,0.0,Moderate,Wet,Car,18.0,1.0,Daylight,1.0
Rainy,Highway,Morning,2.0,100.0,6.0,0.0,None,Wet,Car,66.0,53.0,Daylight,0.0
Clear,City Road,Afternoon,2.0,50.0,7.0,0.0,Low,Wet,Car,18.0,1.0,Daylight,1.0
Clear,City Road,Afternoon,2.0,60.0,5.0,0.0,None,Dry,Truck,23.0,2.0,Daylight,0.0
Clear,City Road,Afternoon,2.0,30.0,5.0,0.0,None,Dry,Car,71.0,48.0,Daylight,0.0
Clear,Rural Road,Afternoon,0.0,50.0,4.0,0.0,None,Dry,Car,50.0,31.0,Daylight,0.0
Clear,Rural Road,Afternoon,1.0,50.0,2.0,0.0,None,Under Construction,Truck,64.0,43.0,Daylight,0.0
Stormy,Highway,Afternoon,1.0,100.0,3.0,0.0,Moderate,Wet,Car,43.0,21.0,Daylight,1.0
Clear,City Road,Afternoon,2.0,60.0,5.0,0.0,Low,Dry,Car,65.0,46.0,Daylight,1.0
Clear,Rural Road,Evening,2.0,60.0,5.0,0.0,None,Dry,Car,31.0,11.0,No Light,0.0
Clear,Highway,Morning,2.0,80.0,5.0,0.0,None,Dry,Motorcycle,47.0,29.0,Daylight,0.0
Snowy,Rural Road,Afternoon,1.0,50.0,4.0,0.0,None,Icy,Car,20.0,0.0,Daylight,0.0
Stormy,Highway,Afternoon,1.0,100.0,7.0,0.0,None,Wet,Car,67.0,37.0,Daylight,0.0
Clear,Highway,Morning,1.0,100.0,3.0,0.0,None,Dry,Car,18.0,0.0,Daylight,0.0
Foggy,Highway,Afternoon,0.0,100.0,3.0,0.0,None,Dry,Car,71.0,51.0,Daylight,0.0
Stormy,City Road,Evening,1.0,50.0,4.0,0.0,None,Wet,Motorcycle,71.0,50.0,Artificial Light,0.0
Rainy,Rural Road,Evening,0.0,80.0,2.0,0.0,None,Wet,Car,65.0,47.0,No Light,0.0
Rainy,City Road,Morning,2.0,30.0,5.0,0.0,None,Wet,Bus,52.0,32.0,Daylight,0.0
Rainy,City Road,Night,1.0,30.0,2.0,0.0,None,Under Construction,Bus,75.0,55.0,Artificial Light,0.0
Clear,City Road,Night,1.0,30.0,2.0,0.0,None,Under Construction,Car,32.0,12.0,Artificial Light,0.0
Clear,Highway,Afternoon,1.0,100.0,5.0,0.0,None,Under Construction,Car,47.0,30.0,Daylight,0.0
Rainy,City Road,Afternoon,2.0,50.0,6.0,0.0,None,Wet,Car,26.0,5.0,Daylight,0.0
Clear,City Road,Morning,2.0,50.0,6.0,0.0,None,Dry,Car,52.0,35.0,Daylight,0.0
Rainy,Highway,Evening,1.0,120.0,4.0,0.0,None,Wet,Car,46.0,29.0,Artificial Light,0.0
Clear,Highway,Morning,1.0,100.0,4.0,0.0,None,Wet,Car,29.0,12.0,Daylight,0.0
Clear,Highway,Evening,2.0,120.0,6.0,1.0,Moderate,Dry,Car,40.0,28.0,Artificial Light,1.0
Clear,City Road,Afternoon,1.0,50.0,2.0,0.0,None,Dry,Car,61.0,44.0,Daylight,0.0
Stormy,Rural Road,Evening,1.0,60.0,4.0,0.0,None,Wet,Car,68.0,47.0,Artificial Light,0.0
Foggy,Highway,Afternoon,2.0,120.0,5.0,0.0,Moderate,Wet,Truck,23.0,4.0,Daylight,1.0
Foggy,City Road,Morning,1.0,30.0,3.0,0.0,None,Under Construction,Motorcycle,61.0,42.0,Daylight,0.0
Clear,Highway,Afternoon,1.0,120.0,3.0,0.0,None,Dry,Car,33.0,15.0,Daylight,0.0
Clear,Highway,Morning,1.0,80.0,6.0,0.0,Low,Wet,Car,26.0,6.0,Daylight,1.0
Clear,City Road,Afternoon,1.0,60.0,4.0,0.0,None,Wet,Car,37.0,13.0,Daylight,0.0
Foggy,City Road,Morning,2.0,60.0,5.0,0.0,Low,Dry,Car,61.0,44.0,Daylight,1.0
Rainy,Highway,Afternoon,2.0,100.0,6.0,0.0,None,Wet,Car,56.0,34.0,Daylight,0.0
Rainy,Highway,Afternoon,1.0,80.0,4.0,0.0,Moderate,Wet,Truck,65.0,46.0,Daylight,1.0
Foggy,City Road,Afternoon,2.0,50.0,6.0,0.0,None,Dry,Motorcycle,59.0,48.0,Daylight,0.0
Clear,Rural Road,Evening,1.0,80.0,4.0,0.0,Moderate,Dry,Car,75.0,53.0,No Light,1.0
Clear,Rural Road,Morning,1.0,60.0,3.0,0.0,None,Wet,Car,63.0,44.0,Daylight,0.0
Rainy,City Road,Afternoon,1.0,50.0,2.0,0.0,None,Wet,Motorcycle,27.0,12.0,Daylight,0.0
Rainy,Mountain Road,Afternoon,1.0,30.0,3.0,0.0,Moderate,Wet,Truck,54.0,42.0,Daylight,1.0
Rainy,City Road,Night,1.0,30.0,2.0,0.0,None,Dry,Car,20.0,4.0,Artificial Light,0.0
Clear,Rural Road,Afternoon,1.0,80.0,3.0,0.0,None,Dry,Bus,53.0,28.0,Daylight,0.0
Rainy,City Road,Evening,2.0,50.0,6.0,0.0,None,Under Construction,Truck,71.0,52.0,Artificial Light,0.0
Rainy,City Road,Night,1.0,50.0,2.0,0.0,None,Wet,Motorcycle,69.0,56.0,Artificial Light,0.0
Foggy,Rural Road,Afternoon,0.0,60.0,1.0,0.0,None,Under Construction,Truck,61.0,44.0,Daylight,0.0
